Localização,Inventário,Denominação do Imobilizado,Vida,Valor Aquisição,Valor Contábil,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
6.02 RIBEIRÃO PRETO,1137489,MANEQUIM P/TREINAMENTO DE REANIMAÇÃO/NASCO,7,"R$ 579,90","R$ 0,00",TAQUINHO DE TREINAMENTO G.A,31.4%,2015-02-23 00:00:00,MANTER: Baixa similaridade (31.4%) com consumível 'TAQUINHO DE TREINAMENTO G.A...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,1137490,MANEQUIM P/TREINAMENTO DE REANIMAÇÃO/NASCO,7,"R$ 579,90","R$ 0,00",TAQUINHO DE TREINAMENTO G.A,31.4%,2015-02-23 00:00:00,MANTER: Baixa similaridade (31.4%) com consumível 'TAQUINHO DE TREINAMENTO G.A...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,1137491,MANEQUIM P/TREINAMENTO DE REANIMAÇÃO/NASCO,7,"R$ 579,90","R$ 0,00",TAQUINHO DE TREINAMENTO G.A,31.4%,2015-02-23 00:00:00,MANTER: Baixa similaridade (31.4%) com consumível 'TAQUINHO DE TREINAMENTO G.A...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,1139741,MANEQUIM P/RESSUSCITAÇÃO CARDIO PULMONAR/EDUTEC,7,"R$ 2505,00","R$ 0,00",MANEQUIM MASCULINO CORPO INTEIRO,24.7%,2015-03-25 00:00:00,MANTER: Similaridade muito baixa (24.7%). Mantém como patrimônio.
6.02 RIBEIRÃO PRETO,1139742,MANEQUIM P/RESSUSCITAÇÃO CARDIO PULMONAR/EDUTEC,7,"R$ 2505,00","R$ 0,00",MANEQUIM MASCULINO CORPO INTEIRO,24.7%,2015-03-25 00:00:00,MANTER: Similaridade muito baixa (24.7%). Mantém como patrimônio.
6.02 RIBEIRÃO PRETO,1207733,MANEQUIM P/TREINAMENTO DE RCP 2 EM 1/ SIMULAIDS,7,"R$ 790,00","R$ 203,08",BOLSA P/TRANSPORTE DE MANEQUIM RCP,32.3%,2018-07-02 00:00:00,MANTER: Baixa similaridade (32.3%) com consumível 'BOLSA P/TRANSPORTE DE MANEQUIM RCP...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,1050170,ESCADA DUPLA EM FIBRA 12 DEGRAUS/W.BERTOLO,15,"R$ 517,24","R$ 0,00",ESCADA DE FIBRA COM TRÊS DEGRAUS,54.5%,2012-12-06 00:00:00,AVALIAR: Similaridade moderada (54.5%) com consumível 'ESCADA DE FIBRA COM TRÊS DEGRAUS...'. Possível reclassificação.
6.02 RIBEIRÃO PRETO,1050221,ESCADA EXTENSÍVEL FIBRA 10 MTS./SINTESE,15,"R$ 992,60","R$ 0,00",ESCADA EXTENSÍVEL DE FIBRA C/(PATRIMÔNIO,56.0%,2012-12-04 00:00:00,AVALIAR: Similaridade moderada (56.0%) com consumível 'ESCADA EXTENSÍVEL DE FIBRA C/(PATRIMÔNIO...'. Possível reclassificação.
6.02 RIBEIRÃO PRETO,1050222,ESCADA DUPLA FIBRA 12 DEGRAUS/W.BERTOLO,15,"R$ 517,24","R$ 0,00",ESCADA DE FIBRA COM TRÊS DEGRAUS,54.4%,2012-12-04 00:00:00,AVALIAR: Similaridade moderada (54.4%) com consumível 'ESCADA DE FIBRA COM TRÊS DEGRAUS...'. Possível reclassificação.
6.02 RIBEIRÃO PRETO,1050223,ESCADA DUPLA FIBRA 12 DEGRAUS/W.BERTOLO,15,"R$ 517,24","R$ 0,00",ESCADA DE FIBRA COM TRÊS DEGRAUS,54.4%,2012-12-04 00:00:00,AVALIAR: Similaridade moderada (54.4%) com consumível 'ESCADA DE FIBRA COM TRÊS DEGRAUS...'. Possível reclassificação.
