Localização,Inventário,Denominação do Imobilizado,Vida,Valor Aquisição,Valor Contábil,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
SENAI SEDE,1039658,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039659,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039660,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039661,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039662,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039663,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039664,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039665,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039666,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039667,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
